scenario,stratum,model,comparison,estimate,lower,upper,n_resamples,level,metric
include_2023,intermediate,lightgbm,social position (step 1 to 2),0.00866315680809826,0.006116978811869639,0.011859677663479189,500,0.95,log-loss skill
include_2023,high,logistic,clinical need (step 0 to 1),0.03554345878883236,0.03186804050489285,0.03901685658777859,500,0.95,log-loss skill
include_2023,high,logistic,social position (step 1 to 2),0.00756076224347324,0.005052172256109858,0.010402870037861391,500,0.95,log-loss skill
include_2023,high,lightgbm,clinical need (step 0 to 1),0.03762474498868962,0.03389212694408937,0.04111473801556345,500,0.95,log-loss skill
include_2023,high,lightgbm,social position (step 1 to 2),0.011036001450452027,0.008575917270862756,0.014563444292463508,500,0.95,log-loss skill
include_2023,unknown,logistic,clinical need (step 0 to 1),0.006084785966378847,0.00369981904542463,0.008394250846033258,500,0.95,log-loss skill
include_2023,unknown,logistic,social position (step 1 to 2),0.003869081364611282,0.0008033498308890681,0.007519388807650823,500,0.95,log-loss skill
include_2023,unknown,lightgbm,clinical need (step 0 to 1),0.005573218987114603,0.0020244445441175295,0.009324368383906876,500,0.95,log-loss skill
include_2023,unknown,lightgbm,social position (step 1 to 2),0.011698961061737179,0.005420380687000556,0.01949433096345723,500,0.95,log-loss skill
include_zero_days,all,logistic,clinical need (step 0 to 1),0.03151660907578435,0.02823892305822861,0.03508110002753725,500,0.95,log-loss skill
include_zero_days,all,logistic,social position (step 1 to 2),0.0060678824402996545,0.0038045172369107513,0.00861279985532004,500,0.95,log-loss skill
include_zero_days,all,lightgbm,clinical need (step 0 to 1),0.03357005913594013,0.030302373913580077,0.037292328445133326,500,0.95,log-loss skill
include_zero_days,all,lightgbm,social position (step 1 to 2),0.009666773795760086,0.00703561646826067,0.012724725077186071,500,0.95,log-loss skill
include_zero_days,low,logistic,clinical need (step 0 to 1),0.0016111889514012212,0.0009972228117567567,0.0022792413205321186,500,0.95,log-loss skill
include_zero_days,low,logistic,social position (step 1 to 2),0.00628618018621796,0.00321815417026925,0.00953750020029194,500,0.95,log-loss skill
include_zero_days,low,lightgbm,clinical need (step 0 to 1),0.00026175161961417004,-0.0007787329498758486,0.001221329588882724,500,0.95,log-loss skill
include_zero_days,low,lightgbm,social position (step 1 to 2),0.010430907266468559,0.007685540679825367,0.01347192768597117,500,0.95,log-loss skill
include_zero_days,intermediate,logistic,clinical need (step 0 to 1),0.004955210536738197,0.004168180906272381,0.005690499030010987,500,0.95,log-loss skill
include_zero_days,intermediate,logistic,social position (step 1 to 2),0.005473939101478864,0.0032721029710276756,0.008132703065174057,500,0.95,log-loss skill
include_zero_days,intermediate,lightgbm,clinical need (step 0 to 1),0.00548025837337951,0.004364868804339306,0.006538926301381753,500,0.95,log-loss skill
include_zero_days,intermediate,lightgbm,social position (step 1 to 2),0.00916327568317743,0.006262901663838809,0.012615292349366097,500,0.95,log-loss skill
include_zero_days,high,logistic,clinical need (step 0 to 1),0.03680079795834468,0.03302738174848886,0.04026988046238625,500,0.95,log-loss skill
include_zero_days,high,logistic,social position (step 1 to 2),0.008335115906598745,0.005726486611695308,0.011203445436572384,500,0.95,log-loss skill
include_zero_days,high,lightgbm,clinical need (step 0 to 1),0.039205699049120635,0.03524966746285212,0.042755025630939886,500,0.95,log-loss skill
include_zero_days,high,lightgbm,social position (step 1 to 2),0.011448801062076353,0.008724271869053469,0.015029757643261556,500,0.95,log-loss skill
include_zero_days,unknown,logistic,clinical need (step 0 to 1),0.01822699114878701,0.013768038923615337,0.021395833501651446,500,0.95,log-loss skill
include_zero_days,unknown,logistic,social position (step 1 to 2),0.005240276239946606,0.0015635371021145096,0.009064796964352941,500,0.95,log-loss skill
include_zero_days,unknown,lightgbm,clinical need (step 0 to 1),0.017765515261874865,0.014430201551251076,0.020881438614708214,500,0.95,log-loss skill
include_zero_days,unknown,lightgbm,social position (step 1 to 2),0.013087864381040593,0.006459181274243021,0.021586178774555792,500,0.95,log-loss skill
strict_first_primary,all,logistic,clinical need (step 0 to 1),0.029845834893041934,0.026518601506574594,0.033457192976375234,500,0.95,log-loss skill
strict_first_primary,all,logistic,social position (step 1 to 2),0.00608841732653842,0.003849082602836196,0.008499083230157084,500,0.95,log-loss skill
strict_first_primary,all,lightgbm,clinical need (step 0 to 1),0.03153540289186496,0.028157894958909864,0.0350839771042056,500,0.95,log-loss skill
strict_first_primary,all,lightgbm,social position (step 1 to 2),0.009820464568903509,0.007264302740640521,0.012720401656115229,500,0.95,log-loss skill
strict_first_primary,low,logistic,clinical need (step 0 to 1),0.0013008392432601878,0.0006251791628557463,0.0020087539215072558,500,0.95,log-loss skill
strict_first_primary,low,logistic,social position (step 1 to 2),0.006279129351005719,0.003294484395813647,0.009478820545936135,500,0.95,log-loss skill
strict_first_primary,low,lightgbm,clinical need (step 0 to 1),0.0003792191435373349,-0.0007874466248402989,0.0015170901627425816,500,0.95,log-loss skill
strict_first_primary,low,lightgbm,social position (step 1 to 2),0.00980222956395238,0.007065562255621896,0.012690060397727307,500,0.95,log-loss skill
strict_first_primary,intermediate,logistic,clinical need (step 0 to 1),0.004622297181802737,0.003876318622091021,0.005384499044330243,500,0.95,log-loss skill
strict_first_primary,intermediate,logistic,social position (step 1 to 2),0.005426243692058574,0.003243699840162457,0.007920518386259295,500,0.95,log-loss skill
strict_first_primary,intermediate,lightgbm,clinical need (step 0 to 1),0.0051609213891203876,0.004078133171512128,0.00621300721780918,500,0.95,log-loss skill
strict_first_primary,intermediate,lightgbm,social position (step 1 to 2),0.008978895280447596,0.006155266255295056,0.012403220815184995,500,0.95,log-loss skill
strict_first_primary,high,logistic,clinical need (step 0 to 1),0.035042700339283805,0.031207822765067013,0.03868038298110402,500,0.95,log-loss skill
strict_first_primary,high,logistic,social position (step 1 to 2),0.008463658960081055,0.005921513811156976,0.011214262950622953,500,0.95,log-loss skill
strict_first_primary,high,lightgbm,clinical need (step 0 to 1),0.036385750158949515,0.03242576768723055,0.03997126340137907,500,0.95,log-loss skill
strict_first_primary,high,lightgbm,social position (step 1 to 2),0.012203201742384984,0.009308087046481695,0.01583620012899038,500,0.95,log-loss skill
