scenario,stratum,model,contrast,estimate
exclude_prostatectomy_nos,intermediate,logistic,area,-8.691920047361947
exclude_prostatectomy_nos,intermediate,logistic,marital,6.441336803564582
exclude_prostatectomy_nos,intermediate,lightgbm,social,-1.7163901872331238
exclude_prostatectomy_nos,intermediate,lightgbm,area,-9.458716734102971
exclude_prostatectomy_nos,intermediate,lightgbm,marital,5.485256867866305
exclude_prostatectomy_nos,high,logistic,social,0.09895416597967
exclude_prostatectomy_nos,high,logistic,area,-8.336159754850268
exclude_prostatectomy_nos,high,logistic,marital,8.308224110275525
exclude_prostatectomy_nos,high,lightgbm,social,-0.05775230718622737
exclude_prostatectomy_nos,high,lightgbm,area,-7.031524129152562
exclude_prostatectomy_nos,high,lightgbm,marital,7.524995660269184
exclude_prostatectomy_nos,unknown,logistic,social,-0.2286932996433393
exclude_prostatectomy_nos,unknown,logistic,area,-12.830365551954046
exclude_prostatectomy_nos,unknown,logistic,marital,6.10708022736349
exclude_prostatectomy_nos,unknown,lightgbm,social,-0.3099428305569347
exclude_prostatectomy_nos,unknown,lightgbm,area,-14.764402093418973
exclude_prostatectomy_nos,unknown,lightgbm,marital,5.493807829569363
